Periode;Riau
15/04/2023;16190
16/04/2023;16190
17/04/2023;16190
18/04/2023;16190
19/04/2023;16300
20/04/2023;16210
21/04/2023;16140
22/04/2023;16270
23/04/2023;16330
24/04/2023;15970
25/04/2023;16210
26/04/2023;16140
27/04/2023;16250
28/04/2023;16250
29/04/2023;16250
30/04/2023;16250
01/05/2023;16250
02/05/2023;16370
03/05/2023;16500
04/05/2023;16150
05/05/2023;16500
06/05/2023;16500
07/05/2023;16450
08/05/2023;16340
09/05/2023;16340
10/05/2023;16340
11/05/2023;16340
12/05/2023;16280
13/05/2023;16340
14/05/2023;16340
15/05/2023;16100
16/05/2023;16190
17/05/2023;16300
18/05/2023;16190
19/05/2023;15960
20/05/2023;16300
21/05/2023;16240
22/05/2023;16190
23/05/2023;16340
24/05/2023;16340
25/05/2023;16470
26/05/2023;16120
27/05/2023;16470
28/05/2023;16470
29/05/2023;16280
30/05/2023;16340
31/05/2023;16340
01/06/2023;16470
02/06/2023;16280
03/06/2023;16580
04/06/2023;16470
05/06/2023;16270
06/06/2023;16270
07/06/2023;16230
08/06/2023;16280
09/06/2023;16340
10/06/2023;16280
11/06/2023;16160
12/06/2023;15990
13/06/2023;16150
14/06/2023;16260
15/06/2023;16150
16/06/2023;16150
17/06/2023;16330
18/06/2023;15990
19/06/2023;16130
20/06/2023;16040
21/06/2023;16360
22/06/2023;16240
23/06/2023;16090
24/06/2023;16250
25/06/2023;16000
26/06/2023;16090
27/06/2023;16240
28/06/2023;16360
29/06/2023;16190
30/06/2023;16400
01/07/2023;16340
02/07/2023;16450
03/07/2023;16230
04/07/2023;16150
05/07/2023;15920
06/07/2023;16230
07/07/2023;16250
08/07/2023;16300
09/07/2023;16300
10/07/2023;16180
11/07/2023;16270
12/07/2023;16250
13/07/2023;16370
14/07/2023;16110
15/07/2023;16250
16/07/2023;16180
17/07/2023;16300
18/07/2023;16180
19/07/2023;16300
20/07/2023;16270
21/07/2023;16300
22/07/2023;16250
23/07/2023;16300
24/07/2023;16370
25/07/2023;16250
26/07/2023;16180
27/07/2023;16250
28/07/2023;16210
