PROVINSI,X1,X2,X3,X4,X5
ACEH,14.45,89.74,365,17.19,5515839
SUMATERA UTARA,8.15,92.19,616,7.14,15471582
SUMATERA BARAT,5.95,85.59,280,8.57,5750326
RIAU,6.68,90.47,238,14.64,6861237
JAMBI,7.58,80.02,208,9.59,3760275
SUMATERA SELATAN,11.78,87.19,348,4.54,8889913
BENGKULU,14.04,73.08,179,4.05,2098089
LAMPUNG,11.11,82.78,319,3.72,9051459
KEP BANGKA BELITUNG,4.52,81.64,64,6.12,1521723
KEP RIAU,5.69,92.1,94,12.16,2178610
DKI JAKARTA,4.44,99.42,315,23.1,11337563
JAWA BARAT,7.62,93.86,1100,10.49,49899992
JAWA TENGAH,10.77,93.76,880,10.83,38125191
DI YOGYAKARTA,11.04,96.69,121,16.23,3722296
JAWA TIMUR,10.35,96.01,972,10.44,41644099
BANTEN,6.17,92.95,251,15.39,12469997
BALI,4.25,98.31,120,15.42,4344554
NUSA TENGGARA BARAT,13.85,96.03,176,6.21,5619450
NUSA TENGGARA TIMUR,19.96,88.35,433,2.5,5609049
KALIMANTAN BARAT,6.71,82.08,249,3.38,5557277
KALIMANTAN TENGAH,5.11,77.72,204,11.16,2753049
KALIMANTAN SELATAN,4.29,76.29,241,8.7,4234214
KALIMANTAN TIMUR,6.11,87.9,188,9.14,4007736
KALIMANTAN UTARA,6.45,90.19,58,5.84,747415
SULAWESI UTARA,7.38,94.37,199,6.22,2660415
SULAWESI TENGAH,12.41,86.85,218,7.16,3154499
SULAWESI SELATAN,8.7,92.12,474,12.83,9400283
SULAWESI TENGGARA,11.43,94.8,306,1.93,2753707
GORONTALO,15.15,96,95,4.14,1237185
SULAWESI BARAT,11.49,79.86,98,2.31,1451657
MALUKU,16.42,92.98,228,4.39,1911943
MALUKU UTARA,6.46,89.01,149,1.63,1365091
PAPUA BARAT,20.49,81.57,76,4.63,565805
PAPUA,26.03,66.49,119,1.82,1085281
