"","V1","pred.baru.label"
"1","PDS-0010","DESA"
"2","PDS-0012","KELURAHAN"
"3","PDS-0014","DESA"
"4","PDS-0017","KELURAHAN"
"5","PDS-0025","DESA"
"6","PDS-0026","KELURAHAN"
"7","PDS-0041","DESA"
"8","PDS-0054","DESA"
"9","PDS-0056","DESA"
"10","PDS-0061","DESA"
"11","PDS-0068","KELURAHAN"
"12","PDS-0078","DESA"
"13","PDS-0083","DESA"
"14","PDS-0087","DESA"
"15","PDS-0090","DESA"
"16","PDS-0098","DESA"
"17","PDS-0106","DESA"
"18","PDS-0113","DESA"
"19","PDS-0118","DESA"
"20","PDS-0126","DESA"
"21","PDS-0127","DESA"
"22","PDS-0137","DESA"
"23","PDS-0139","DESA"
"24","PDS-0142","DESA"
"25","PDS-0146","KELURAHAN"
"26","PDS-0149","KELURAHAN"
"27","PDS-0153","KELURAHAN"
"28","PDS-0154","DESA"
"29","PDS-0156","DESA"
"30","PDS-0160","DESA"
"31","PDS-0162","DESA"
"32","PDS-0163","DESA"
"33","PDS-0164","DESA"
"34","PDS-0166","KELURAHAN"
"35","PDS-0167","DESA"
"36","PDS-0175","DESA"
"37","PDS-0187","DESA"
"38","PDS-0188","DESA"
"39","PDS-0190","DESA"
"40","PDS-0191","KELURAHAN"
"41","PDS-0193","KELURAHAN"
"42","PDS-0194","KELURAHAN"
"43","PDS-0196","DESA"
"44","PDS-0198","DESA"
"45","PDS-0202","KELURAHAN"
"46","PDS-0203","DESA"
"47","PDS-0204","DESA"
"48","PDS-0205","DESA"
"49","PDS-0207","DESA"
"50","PDS-0208","DESA"
"51","PDS-0214","DESA"
"52","PDS-0216","KELURAHAN"
"53","PDS-0227","KELURAHAN"
"54","PDS-0235","KELURAHAN"
"55","PDS-0236","DESA"
"56","PDS-0237","KELURAHAN"
"57","PDS-0239","KELURAHAN"
"58","PDS-0259","DESA"
"59","PDS-0270","KELURAHAN"
"60","PDS-0272","DESA"
"61","PDS-0277","DESA"
"62","PDS-0282","DESA"
"63","PDS-0283","DESA"
"64","PDS-0295","KELURAHAN"
"65","PDS-0302","DESA"
"66","PDS-0303","DESA"
"67","PDS-0315","DESA"
"68","PDS-0337","KELURAHAN"
"69","PDS-0339","KELURAHAN"
"70","PDS-0341","DESA"
"71","PDS-0343","DESA"
"72","PDS-0353","DESA"
"73","PDS-0359","DESA"
"74","PDS-0363","DESA"
"75","PDS-0365","DESA"
"76","PDS-0366","KELURAHAN"
"77","PDS-0375","DESA"
"78","PDS-0385","DESA"
"79","PDS-0387","DESA"
"80","PDS-0390","KELURAHAN"
"81","PDS-0392","DESA"
"82","PDS-0393","KELURAHAN"
"83","PDS-0405","DESA"
"84","PDS-0407","DESA"
"85","PDS-0413","DESA"
"86","PDS-0418","DESA"
"87","PDS-0420","DESA"
"88","PDS-0437","DESA"
"89","PDS-0442","DESA"
"90","PDS-0443","DESA"
"91","PDS-0447","DESA"
"92","PDS-0459","KELURAHAN"
"93","PDS-0476","DESA"
"94","PDS-0482","DESA"
"95","PDS-0489","KELURAHAN"
"96","PDS-0490","DESA"
"97","PDS-0493","DESA"
"98","PDS-0503","DESA"
"99","PDS-0505","DESA"
"100","PDS-0509","DESA"
"101","PDS-0515","DESA"
"102","PDS-0523","DESA"
"103","PDS-0526","DESA"
"104","PDS-0527","DESA"
"105","PDS-0530","DESA"
"106","PDS-0540","DESA"
"107","PDS-0542","DESA"
"108","PDS-0546","DESA"
"109","PDS-0553","DESA"
"110","PDS-0558","KELURAHAN"
"111","PDS-0561","DESA"
"112","PDS-0570","DESA"
"113","PDS-0571","DESA"
"114","PDS-0572","KELURAHAN"
"115","PDS-0573","DESA"
"116","PDS-0588","KELURAHAN"
"117","PDS-0594","DESA"
"118","PDS-0598","DESA"
"119","PDS-0613","DESA"
"120","PDS-0615","DESA"
"121","PDS-0620","DESA"
"122","PDS-0629","DESA"
"123","PDS-0630","DESA"
"124","PDS-0631","DESA"
"125","PDS-0633","DESA"
"126","PDS-0635","KELURAHAN"
"127","PDS-0646","DESA"
"128","PDS-0651","KELURAHAN"
"129","PDS-0662","DESA"
"130","PDS-0664","DESA"
"131","PDS-0667","KELURAHAN"
