"Periode","Aceh","Sumatra Utara","Sumatra Barat","Riau","Jambi","Sumatra Selatan","Bengkulu","Lampung","Kepulauan Bangka Belitung","Kepulauan Riau","DKI Jakarta","Jawa Barat","Jawa Tengah","DI Yogyakarta","Jawa Timur","Banten","Bali","NTB","NTT","Kalimantan Barat","Kalimantan Tengah","Kalimantan Selatan","Kalimantan Timur","Kalimantan Utara","Sulawesi Utara","Sulawesi Tengah","Sulawesi Selatan","Sulawesi Tenggara","Gorontalo","Sulawesi Barat","Maluku","Maluku Utara","Papua Barat","Papua","Papua Barat Daya","Papua Pegunungan","Papua Tengah","Papua Selatan"
"01/01/2023","18860","18480","16440","17100","15620","15950","15590","15640","16300","15840","14700","17900","16450","16490","16820","16350","18100","19090","20270","16200","18650","16310","18230","17160","17870","17670","18490","18830","15880","17050","25810","20720","22930","21060","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"02/01/2023","19190","18280","16440","17250","15620","16020","15530","15640","16330","15050","14950","18370","16460","16720","16830","16440","18380","18930","20910","16180","18600","16600","17700","16950","17940","18140","18300","18590","15880","17050","23430","21540","20460","21470","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"03/01/2023","18700","18230","16410","17760","15620","16080","15530","15640","16350","15740","14950","18170","16640","17100","16590","15870","17990","18530","21260","16190","18600","16460","18490","17160","18090","17700","18270","19040","15910","17050","23640","22230","19460","21670","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"04/01/2023","18970","18450","16510","17760","15730","16190","15620","15850","16350","15630","14950","18300","16460","17280","16860","15540","17880","19430","20710","16190","18600","16460","18730","17160","18130","17860","18110","18760","15910","17050","23680","22230","19590","21470","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"05/01/2023","18970","18500","16440","17430","15730","16240","15620","15910","16350","15570","15280","18310","16380","16820","17130","16130","18130","18820","21470","16190","18600","16220","18630","17160","18110","17860","18260","18640","15910","17050","23310","22230","22190","21700","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"06/01/2023","18970","18290","16410","16480","15730","16240","15620","15640","16350","15630","14950","18060","16450","16660","17180","16220","18000","19090","20520","16170","18600","16330","18690","17160","18100","17790","18340","18830","15910","16970","22900","22590","21040","21860","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"07/01/2023","18930","18360","16270","16460","15730","16280","15620","15590","16350","15740","14950","18160","16710","16660","17200","16290","17780","19150","21220","16190","18460","16310","18790","17160","18010","17790","18150","18590","15910","16970","22840","21160","22080","22830","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"08/01/2023","18800","18180","16500","16510","15730","16250","15570","15860","16350","15630","14700","18130","16630","16850","17090","15060","17890","18820","21720","16190","18230","16020","19590","17160","18120","17790","17980","18670","15940","16970","23270","21740","22210","22320","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"09/01/2023","18860","16750","16540","15580","15730","16340","15570","15930","16330","14790","#VALUE!","16990","16030","17060","17220","15800","17890","19150","20490","16130","18890","22000","17840","18000","19210","17610","17860","19960","15940","#VALUE!","22230","22620","21780","22810","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"10/01/2023","18970","18180","16540","16150","15520","16230","15570","15890","16350","15560","14950","17540","16730","16570","16830","16060","17940","18950","20330","16190","18230","16030","18320","17160","17970","17820","17810","18990","16210","16970","22840","23280","22190","22850","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"11/01/2023","19040","18250","16420","16480","15730","16260","15570","16210","16350","15840","14950","17930","16870","16570","16950","16060","17890","19230","20730","16190","18370","16310","18740","17160","17970","17790","17870","18860","16320","16970","23270","20610","22070","22820","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"12/01/2023","19120","18230","16500","16650","15730","16280","15760","16090","16330","15840","15210","17980","17090","16570","17120","16060","17890","19320","20700","16190","18410","16230","18600","17160","18200","17720","17870","18920","16320","16970","23110","22260","22070","22820","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"13/01/2023","19120","18310","16540","16230","15790","16460","15670","16040","16490","15840","14950","17850","17000","16570","16980","16060","17890","19320","20690","16190","18560","16250","17790","17160","17690","17800","17880","18610","16480","17050","22800","22290","23110","22820","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"14/01/2023","19090","18380","16400","16520","15790","16450","15750","16060","16490","15840","14950","17980","16970","16570","16800","15330","18000","19410","20100","16190","18560","16330","18840","17160","17550","17090","17910","18750","16480","17050","22800","21860","21040","22720","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"15/01/2023","19090","18310","16610","16520","15790","16410","15770","16200","16350","15560","14950","17800","16930","17440","17140","16060","17760","18980","21470","16210","18690","16540","18560","17160","18270","17720","17800","18680","17140","17210","22460","21880","22210","22720","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"16/01/2023","19120","18330","16520","16560","15580","16580","15770","16060","16350","15560","14950","17990","17080","17120","16960","15700","18040","19350","20290","16070","18560","16250","19020","17160","18090","17550","17720","18290","17740","17210","22460","22520","20200","22890","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"17/01/2023","18910","18360","16640","16380","15790","16570","15870","16030","16350","16250","14950","18090","17120","17310","16800","16130","18080","19420","19790","15990","18560","16330","18520","17160","18010","17720","17810","18700","18280","17210","22040","21970","21510","22570","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"18/01/2023","18920","18400","16610","15970","15700","16570","15920","15740","16350","16330","14950","18020","17170","17310","16660","16130","17870","19420","19920","16060","18560","16370","18540","17160","18150","17640","17760","18810","18350","17210","22780","22080","21810","23080","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"19/01/2023","19050","18140","16750","16020","15790","16630","15820","15840","16350","16170","14950","18000","17180","17600","16880","16060","17850","19420","20100","16060","18380","16480","18100","17160","17650","17720","17570","18840","18730","17210","22150","21890","21810","23080","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"20/01/2023","19080","18380","16620","16060","15790","16600","15820","15940","16350","16790","14950","17910","17290","17480","16810","16060","17870","19420","20420","16240","18340","16480","18500","17160","18120","17890","17420","18610","18730","16940","22500","21770","21390","22790","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
