,Date,Price,High,Low,Close,Volume,Adj Close
0,2013-05-01,32.93,35.28,32.32,34.9,1071860000,28.94
1,2013-06-01,34.92,35.78,32.57,34.54,945155500,28.85
2,2013-07-01,34.75,36.43,31.02,31.84,1111130600,26.59
3,2013-08-01,32.06,35.2,30.84,33.4,1051265000,27.89
4,2013-09-01,31.75,33.75,30.95,33.28,1242961500,27.99
5,2013-10-01,33.35,36.29,32.8,35.41,965331500,29.78
6,2013-11-01,35.67,38.29,35.39,38.13,800431600,32.07
7,2013-12-01,38.09,38.98,35.53,37.41,826617700,31.7
8,2014-01-01,37.35,37.89,34.63,37.84,930226200,32.07
9,2014-02-01,37.74,38.46,35.69,38.31,705304500,32.46
10,2014-03-01,37.92,41.5,37.49,40.99,778425700,35
11,2014-04-01,41.15,41.66,38.9,40.4,746112500,34.49
12,2014-05-01,40.24,40.97,38.51,40.94,574362900,34.95
13,2014-06-01,40.95,42.29,39.86,41.7,555767300,35.85
14,2014-07-01,41.86,45.71,41.05,43.16,731616500,37.11
15,2014-08-01,43.21,45.47,42.21,45.43,513919700,39.06
16,2014-09-01,45.43,47.57,44.53,46.36,860827300,40.11
17,2014-10-01,46.27,46.97,42.1,46.95,853260900,40.62
18,2014-11-01,46.89,50.05,46.73,47.81,523005900,41.36
19,2014-12-01,47.88,49.06,44.9,46.45,626771200,40.44
20,2015-01-01,46.66,47.91,40.35,40.4,918966800,35.17
21,2015-02-01,40.59,44.3,40.23,43.85,656509700,38.18
22,2015-03-01,43.67,44.19,40.54,40.66,824335300,35.65
23,2015-04-01,40.6,49.54,40.12,48.64,874535300,42.65
24,2015-05-01,48.58,48.91,46.02,46.86,633072800,41.09
25,2015-06-01,47.06,47.77,43.94,44.15,664853400,38.96
26,2015-07-01,44.46,47.4,43.32,46.7,725458100,41.21
27,2015-08-01,46.98,48.41,39.72,43.52,776480300,38.41
28,2015-09-01,42.17,45,41.66,44.26,673079900,39.32
29,2015-10-01,44.75,54.37,43.75,52.64,856716800,46.76
30,2015-11-01,52.85,54.98,52.53,54.35,662626600,48.28
31,2015-12-01,54.41,56.85,53.68,55.48,792820900,49.62
32,2016-01-01,54.32,55.39,49.1,55.09,927914700,49.27
33,2016-02-01,54.88,55.09,48.19,50.88,814770900,45.5
34,2016-03-01,50.97,55.64,50.58,55.23,641110900,49.75
35,2016-04-01,55.05,56.77,49.35,49.87,699025700,44.92
36,2016-05-01,50,53,49.46,53,530704800,47.74
37,2016-06-01,52.44,52.95,48.04,51.17,823627000,46.41
38,2016-07-01,51.13,57.29,50.39,56.68,647587800,51.41
39,2016-08-01,56.6,58.7,56.14,57.46,467078900,52.12
40,2016-09-01,57.01,58.19,55.61,57.6,526427800,52.57
41,2016-10-01,57.41,61.37,56.32,59.92,614841800,54.69
42,2016-11-01,59.97,61.41,57.28,60.26,613056800,55
43,2016-12-01,60.11,64.1,58.8,62.14,513579700,57.1
44,2017-01-01,62.79,65.91,61.95,64.65,493453500,59.4
45,2017-02-01,64.36,65.24,62.75,63.98,440744000,58.79
46,2017-03-01,64.13,66.19,63.62,65.86,489169700,60.88
47,2017-04-01,65.81,69.14,64.85,68.46,433191200,63.29
48,2017-05-01,68.68,70.74,67.14,69.84,517218500,64.56
49,2017-06-01,70.24,72.89,68.09,68.93,629716800,64.09
50,2017-07-01,69.33,74.42,68.02,72.7,469851200,67.59
51,2017-08-01,73.1,74.96,71.28,74.77,444070500,69.51
52,2017-09-01,74.71,75.97,72.92,74.49,375983900,69.62
53,2017-10-01,74.71,86.2,73.71,83.18,449950000,77.75
54,2017-11-01,83.68,85.06,82.24,84.17,421926000,78.67
55,2017-12-01,83.6,87.5,80.7,85.54,466203300,80.35
56,2018-01-01,86.13,95.45,85.5,95.01,574258400,89.25
57,2018-02-01,94.79,96.07,83.83,93.77,725663300,88.08
58,2018-03-01,93.99,97.24,87.08,91.27,750754800,86.14
59,2018-04-01,90.47,97.9,87.51,93.52,668130700,88.26
60,2018-05-01,93.21,99.99,92.45,98.84,509417900,93.28
61,2018-06-01,99.28,102.69,97.26,98.61,602585200,93.47
62,2018-07-01,98.1,111.15,98,106.08,569352300,100.55
63,2018-08-01,106.03,112.78,104.84,112.33,456628100,106.47
64,2018-09-01,110.85,115.29,107.23,114.37,480255500,108.82
65,2018-10-01,114.75,116.18,100.11,106.81,927548000,101.63
66,2018-11-01,107.05,112.24,99.35,110.89,720228600,105.51
67,2018-12-01,113,113.42,93.96,101.57,944314600,97.06
68,2019-01-01,99.55,107.9,97.2,104.43,714212800,99.8
69,2019-02-01,103.78,113.24,102.35,112.03,469095900,107.06
70,2019-03-01,112.89,120.82,108.8,117.94,589095800,113.19
71,2019-04-01,118.95,131.37,118.1,130.6,433157700,125.34
